,Jobs,Company,Location,Summary,Description,Posted on,Job Url,Salary
227,"Data Admin Agent - Clearance
new",DHL Express,"Mumbai, Maharashtra","For shipment records which cannot be “cleansed” due to inadequate or insufficient information available, or have been identified as requiring special handling…","(2000306)
India-Maharashtra-Mumbai | Full-time | Permanent | Standard

Role Profile
Organisational Background Information

BMR title / Role title
Data Administration Agent (DAA)
Corporate Division
Express
Business Division
Operations
Business Unit
 Operations
Overall Role Purpose
Prepare shipment records (or files) for customs clearance entry by ensuring that the information available in the shipment record reflects the available data to DHL (in DHL systems, including CIA images, and Customer Database Records).
Assist with general administrative duties related to customs clearance such as the printing, collation, distribution and filing of customs clearance-related documentation.

Reports to
Customs Clearance Supervisor
Band

Scope of Role

Budgeted T/O in m or bn €
[year]
Number of countries covered [year]
No. Of FTEs
[year]
Direct/Indirect/Dotted Lin reports [year]

Size of budget or assets
in m or bn €
Expected profit of business in m or bn €
Other relevant dimension
Other relevant dimension

Accountabilities

Key activities
Overall goals / Typical measures
Customer
External

Internal
Customs Clearance Supervisor
Assist in administrative duties within the clearance department such as the printing, collation and distribution of the required customs documentation needed for lodgment of a customs entry.
Assist in the collation of the necessary documents for BTO shipments to facilitate smooth handover of the documents to the appointed broker


Achieve the agreed KPI
COA
BOS
% of over 72 hrs

Stakeholder
External

Internal

Process

Data Administration
Validate and if needed, correct the data elements in the shipment records to ensure that the data elements in the records are in accordance to the approved format and structure acceptable to the regulatory agencies and systems.
Verify and if needed, correct the shipment details in the shipment record to ensure that the information in the shipment records are in accordance to the information available in commercial documents provided by the customer and/or customer instructions available in DHL’s Customer Database Records
Note: In relation to the task stated above, the DAA will ensure that multi-commodities in a shipment are recorded in the shipment record. The DAA will verify the actual number of shipment commodities from the commercial documents available in the shipment.

If a shipment record is not available (example over-landed shipments), the DAA will assist to create an initial shipment record (or file) for the over-landed shipment using the commercial documents available on the physical shipment
Following the successful conclusion of the ‘cleansing” of shipment records, the DAA will if required, assign the shipment records according to the declaration modes and distribute these records to the appropriate parties in the clearance department for follow-on work in the clearance work cycle. {This task may be automated in some locations}
For shipment records which cannot be “cleansed” due to inadequate or insufficient information available, or have been identified as requiring special handling/treatment, e.g P & R, the DAA will assign these to the Clearance Support Group for further investigation and resolution.
Perform filing and archiving of customs documents for shipments that have been cleared by DHL
Perform co-ordination duties within the clearance department as assigned by the duty supervisor, and/or between the clearance department and other DHL departments (e.g. between the clearance department and NCG, or warehouse operations or the accounting department ) and/or external agencies (e.g. between Customs and the DHL clearance department)
Achieve the agreed KPI
COA
BOS
% of over 72 hrs


People - Management

Incumbent has no direct reports and authority over country line and functional personnel. Nevertheless he/she must be able to demonstrate ability to influence decisions/actions through provision of value-added inputs into the organisation’s business processes.
Act as a mentor for the trainees/ Government Apprentices/ Probationers and train them.
Impart First Aid training to the employees.
Conduct refresher course for the employees.
Imparting on-the-job training to new comers, trainees/ apprentices, evaluating their progress during the training period and recommending – for probation or termination – based on performance.
Recommending leave for the trainees/ apprentices/ probationers.
Performance appraisal/ recommending salary increase of the trainees/ probationers.
Selection of trainees/ apprentices, assessing the candidature and recommending .


Informal influence to enable improvement and change within the organisation

Skills / Qualifications

Key capabilities

Skills
Software skills (Word, Excel, PowerPoint, etc.)
Communication skills (English), spoken and written


Competences
Competency segment ‘Business’
Analysis: Breaks down a problem, situation or process into its component parts, separates the main issues from side-issues, understands the nature of parts and their relationship to one another. Seeks out and critically evaluates both numerical and narrative information. Draws accurate conclusions.
Planning & Organizing: Sets clear and realistic goals and objectives. Establishes a course of action and a sequence of steps to ensure that activities and objectives are efficiently achieved. Is structured with good personal organization. Schedules time effectively and uses efficient work methods and tools.
Decision Making: Makes timely and appropriate choices based on accurate analysis and experience. Uses sound judgment even in conditions of uncertainty. Anticipates impact of decisions and plans how to manage risk.
Results Orientation: Continually seeks to accomplish critical tasks with measurable results. Overcomes obstacles and makes adjustments to achieve results. Focuses self and others to achieve targets aligned with business goals.

Competency segment ‘Leadership’
Teamwork: Works cooperatively with others to achieve target and objectives. Accomplishes own tasks in support of team goals and actively offers to help colleagues. Supports group decisions.

Competency segment ‘Personal’
Accountability: Acts responsibly. Can be counted on to keep commitments. Complies with the intent of policies, procedures and agreements. Builds others' trust in own professionalism, integrity, expertise and ability to get results.
Communication: Provides both verbal and written information in a timely, clear and concise manner. Expresses ideas effectively, adjusting style, tools and mode to the needs of others. Listens attentively, and summarizes or asks questions, when needed, to clarify information.
Self Management: Remains calm, objective and controlled in responding to urgent or demanding situations. Maintains effective performance under pressure. Stays positive.
Expected years of experience
(Minimum)
N/A (entry level job)
Expected Educational Qualifications
Completed High School Education

Career/ Role Development

Expected next roles

Classification Agent


Expected years of experience
(Minimum)
N/A (entry level job)
Expected Educational Qualifications
Completed High School Education",4 days ago,www.indeed.co.in/rc/clk?jk=9852808dc6bc95e0&fccid=5b8d10630cb111eb&vjs=3,Not mentioned
228,Project Assistant,G.B. Pant University of Agriculture and Technology,"Kashipur, Uttarakhand","Pant University of Agriculture and Technology, please click on the Apply Now button below.
Date and time of interview: 27.07.2020, 11.00 AM.","G.B. Pant University of Agriculture and Technology Recruitment 2020 - Project Assistant Vacancies - B.Sc - 18,000 Salary - Apply NowG.B. Pant University of Agriculture and Technology Recruitment 2020-21: Employees State Insurance Corporation (G.B. Pant University of Agriculture and Technology) announced Job notification to hire candidates who completed B.Sc for the position of Project Assistant. To Apply for the job posting from G.B. Pant University of Agriculture and Technology, please click on the Apply Now button below.Company Name: G.B. Pant University of Agriculture and Technology
Post Name: Project Assistant
No of Posts: 1
Salary: 18,000 (Per Month )
Experience: fresher
Education: B.Sc
Location: Udham Singh Nagar
Last Date: 25-07-2020
Selection Procedure: Selection Will be Based either Written Exam/Interview

How To Apply:
1. Last date Of receiving appication : 25.07.2020

2. Date and time of interview: 27.07.2020, 11.00 AM",9 days ago,www.indeed.co.in/rc/clk?jk=21bc5b05496c1c3b&fccid=ed9ec8a958a7334a&vjs=3,"₹18,000 a month"
229,"SAS Executive
new",Reliance Jio Infocomm Limited,"Hubli, Karnataka","Coordinate with different teams for achieving 99% SAS uptime.
Coordinate with vendor for implementation of SAS.
Support the SLP in theft prevention initiatives.","Job Responsibilities :

1. Coordinate with vendor for implementation of SAS
2. Share daily status of implementation to the SAS coordinator
3. Coordinate with different teams for achieving 99% SAS uptime
4. Share maintenance activities status for SAS uptime with SAS
coordinator
5. Support the SLP in theft prevention initiatives
6. Ensure respective land owners have security app installed
Education Requirement :

Diploma in Electrical/ Electronics/ IT/ Telecom
Experience Requirement :

2 - 4 years
Skills & Competencies :

1. Knowledge of IT and Telecom Infra and Power
2. Troubleshooting skills
3. Problem solving skills
4. Attention to detail
Location Map : CMP_Hubli Dharwad,Hubli Dharwad,Karnataka",4 days ago,www.indeed.co.in/rc/clk?jk=7434a497c08fd243&fccid=f63c7e3396139126&vjs=3,Not mentioned
230,"Hospitality Executive
new",SS Group,"Gurgaon, Haryana","Hotel Management with minimum 1 to 2 years of experience in maintaing five-star hotel suits or modern guest house, providing hospital experience to guest floor…","6-8 Years

N/A

Gurgaon

Hotel Management with minimum 1 to 2 years of experience in maintaing five-star hotel suits or modern guest house, providing hospital experience to guest floor deep clean, hygiene and monitoring housekeeping staff.",5 days ago,www.indeed.co.in/rc/clk?jk=e5b839baacb087a0&fccid=761d0eeff72777e2&vjs=3,Not mentioned
231,D.G.M.,Okinawa Autotech,"Bhiwadi, Rajasthan","Review compliance with ISO 9000 standards, Corrective and Preventive actions on critical issues, and build quality -culture by implementing best practices in…","Experience Required: 15 – 20 years
Location: Khushkhera, Bhiwadi
Job Code: 104


Total Quality management including Kaizen activities, 5S, pokayoke, JIT, KANBAN, Total productive maintenance etc, Tracking PM, CM, BD, TPM, AMC
Review, monitor and create awareness amongst workforce on efficiency, initiate action on deviations to ensure manpower productivity.
Address employee grievances; prepare employee engagement and development plans to build a motivated team
Review compliance with ISO 9000 standards, Corrective and Preventive actions on critical issues, and build quality -culture by implementing best practices in quality.
Reduction in Breakdowns, improvement in MTTR and MTBF parameters are the main responsibility.
Ensure all members of the manufacturing team are aware of the EHS system and procedures, motor testing, Manufacturing process, Production line, TPM, Motor Testbed Operation, Maintenance
Work with purchasing manager to develop and improve the raw material supply chain",8 days ago,www.indeed.co.in/rc/clk?jk=659829130443e0a3&fccid=ef8c674b45fea0ff&vjs=3,Not mentioned
232,RBB-Teller,HDFC Bank,"Gopalganj, Bihar",Ensure quality customer service is delivered Escalate irate customers to Teller Authorizer or BM Recording complaints as per the specified process Resolving all…,"Job Description
A.
Operations: Identify high transacting customers and reduce the transactions of these customers a.
Identify Depleting customers and control them b.
Reduce or improve on Band 1 and Band 2 Customers c.
Reduce Band 1 and Band 2 Txns Handling of cash receipts and payments and ensuring transactions are carried out within the prescribed TAT without errors Cash balancing and Cash bundling Processing of Retail FX postings / Gold sales/Pre Paid Cards Issuance of DD/ MC (within prescribed TAT) Executing of funds transfer/ FD closure / Account Closure Processing of Salary Uploads Custodian for teller box Custodian for cheque drop boxes Ensure error free transactions of receipts & payments.
Retail FX transactions processing.
Vault Custodian Ensure highest level of customer service.
Ensure that outward clearing process is adhered to.
ATM custodian.
Identification of counterfeit cash and ensure adherence of process laid down by the bank B.
Monitoring: Monitor large amount movements and report them as per reporting schedule a.
If more than 1cr ensure updation on the portal.
Identification and Closure of TOD accounts on regular basis Identification and Closure of High Cheque return customers beyond the threshold.
All high cash transacting Band 1 & 2 accounts to be marked with a low severity memo, to ensure that cash transactions are not allowed.
Such customers to be directed to the BM based on f4 hotkey details.
Identification of customers regularly visiting the counter and diverting them to Direct Banking Channels, including customers with high cheque returns, non-maintenance of AQB etc.
Archival back-up Local stationery management - Proper Reorder levels / Indent security stationery at appropriate reorder levels.
Preparation of voucher batch ticket for the day.
Processing and follow up for admin related bills/ payments Periodic exchange of keys lodged with other branch Periodic Checking of Vault Register Management of clearing/ collection cheques/ FCY cheque collections ST35 monitoring.
C.
Reporting: Fortnightly reporting on cash transactions over Rs.
00 lacs Report for any suspicious transactions (also maintain the AML register) FX transaction reporting on time to TAG and Treasury Mumbai before Cutoff time using FX software.
Reporting of suspense accounts, deferred accounts, accounts payable/ receivable, Reconciliation and maintenance of suspense accounts register, as per the required format and filing them Reporting of fortnightly suspense / TOD and QRS reports and filing them.
CBDT schedules reporting to WBO before Cut off times.
D.
Maintenance: Filing of MC/ DD stub copies and cancelled instruments Managing the returned cheques including proper maintenance of registers and customer intimation.
Maintenance of counter stock register (DD/MC) Maintaining Salary uploads confirmations Maintaining Gold Sales Invoice Copies Maintaining Backup tapes Maintain the records for expense vouchers/ payments to vendors/ reimbursement to staff.
Bulk Stock Register Maintenance Printing, checking &Filing; of EOD reports (BJR/ Instruments issued/ EOD cash position etc.
) Maintenance of records/ register for host entry GL209 posting.
Maintenance of Voucher Movement Register Coordinate for binding of records/ sending the same to the vendor on regular intervals.
Ensure correct updation and verification in E-call back E.
Customer Service: Lobby Management Queue handling Proper housekeeping, upkeep, etc.
Ensure quality customer service is delivered Escalate irate customers to Teller Authorizer or BM Recording complaints as per the specified process Resolving all complaints received (self, branch, other units) within the stipulated TATs pertaining to Teller area Monitor all complaints received and ensure that complaints are closed within the TAT Ensure customer communication on closures Check with customers if the process of complaint resolution has been managed well Preventive complaint management Asking for feedback from customers, who may not be complaining Discussing with staff the importance of getting feedback from customers on a regular basis Ensuring timely loading of Forex Plus card and Gift Plus card as per TATs Ensure Outward remittances and Other Retail Forex transactions are reported to Treasury Mid office within Cutoff time in Dealpro F.
Sales: Generate leads for Banks product with the emphasis on the following: Generate Sales References for Liability products Generate leads for Credit Cards Penetration of Saving Accounts on non-liability customers Ensure that customers opt for and get facilities of CBDT collections Cross selling Gold Bars Cross selling Forex Plus card and Gift Plus Card Cross sell FX Cash Generate leads for Third Party Products to the customers (MF/Insurance/RBI Bonds).

Skills
3. NRI Product and Regulatory Knowledge",19 days ago,www.indeed.co.in/rc/clk?jk=d17b2edbe9d80903&fccid=a6fab41a2a4262c5&vjs=3,Not mentioned
233,SRAMM-1-2013,Skei Ice Cream,India,Responsible for Heading all Tachnical (Ie mechanical/electrical)related activities of an ice cream manufacturing plant.,"Qualification : Diploma in mechanical Engineering

Experience : Fresher

Senior Assistant Maintenance Mechanic-Trainee.Responsible for Heading all Tachnical (Ie mechanical/electrical)related activities of an ice cream manufacturing plant.

Salary - 11500+PF+ESI +Semi furnished Accommodation.",30+ days ago,www.indeed.co.in/rc/clk?jk=2b9b12416c8479a9&fccid=23295f0dfb89de06&vjs=3,"₹11,500 a month"
234,"Computer Assistant
new",Government of Jharkhand,"Saraikela, Jharkhand","Before filing the online form, please ensure that you are having the scanned copy of the following documents, as applicable.
Last Date: 04-08-2020.","RDD Jharkhand Recruitment 2020 - Computer Assistant Vacancies - 10,000 Salary - Apply NowGovernment of Jharkhand Recruitment 2020-21: Employees State Insurance Corporation (Government of Jharkhand) announced Job notification to hire candidates who completed BCA,B.Sc,PGDCA for the position of Computer Assistant. To Apply for the job posting from Government of Jharkhand, please click on the Apply Now button below.Company Name: Government of Jharkhand
Post Name: Computer Assistant
No of Posts: 2
Salary: 10,000 (Per Month )
Experience: fresher
Education: BCA,B.Sc,PGDCA
Location: Saraikela Kharsawan
Last Date: 04-08-2020
Selection Procedure: Selection Will be Based either Written Exam/Interview

How To Apply:
Interested Candidates Can Be Apply on or Before The Last Date You can apply online from 16 Jul 2020 to 04 Aug 2020.

Important Instructions:
Before filing the online form, please ensure that you are having the scanned copy of the following documents, as applicable. The size of a single document should not be more than 300 kb in pdf format. The Photograph (Max 50 kb) & signature (Max.50 kb) should be in jpeg format. Latest passport size photograph (Not more than 6 months old) Scanned copy of Signature Matriculation Certificate as an age proof Essential & desirable qualification/s, certificates, marks-sheets Experience certificate/s Domicile certificate issued by a competent authority of Govt. of Jharkhand Caste certificate (For candidates of reserved category only) Person with disabilities (PwD) should submit certificate issued by a Medical Board To get the benefit of reservation & concession in fee, the candidate will have to submit the caste certificate issued by a competent authority of Govt. of Jharkhand. Else, the candidate will be considered for unreserved posts only & no concession of fee will be permitted. For registration a valid email id & mobile number is mandatory Fee will be paid through debit/credit card or internet banking only. Fee once deposited will neither be refunded nor transferred in any circumstances. Candidate should take a print out of successfully submitted application for future reference.

Note:
1. Applicants are advised to download and read the advertisement carefully before applying

2. For each post the candidate will have to register separately.",1 day ago,www.indeed.co.in/rc/clk?jk=aa76dd2327e589f3&fccid=8d787dd844c9366d&vjs=3,"₹10,000 a month"
235,Computer operator & Back office,Ram Babu Jatav (proprietor of Ulimate services),"Latur, Maharashtra","Â€¢Give the regular Detail of business.
Sheets, forms) within the organization, as he will be operating with delicate information.
Â€¢Scan And Print documents.","sheets, forms) within the organization, as he will be operating with delicate information. He will also do filing, copying, and Print Document as required.
Responsibilities: -
â€¢Maintain database on regular basis.
â€¢Scan And Print documents.
â€¢Verify data and correct database.
â€¢Review and verify the entries.
â€¢Give the regular Detail of business.
â€¢Transfer data from PDF formats in system.
â€¢Maintain the records Confidential.
Required Skills and Qualifications: -
â€¢Knowledge of MS Office
â€¢Good typing speed.
â€¢Communication skills-oral and written.
â€¢Any Diploma/Degree 12th with good typing skills.
â€¢Knowledge of Internet Browsing.
â€¢Age - 18 To 28 Yr.
Benefits: -
â€¢No Target
â€¢Fixed Shift
â€¢Parking Free
â€¢Incentives
â€¢Fresherâ€™s Welcome
â€¢
Contact Hr. . . Ayesha Mehta 08588913648",30+ days ago,www.indeed.co.in/rc/clk?jk=3a99c98dbe0ff7bf&fccid=d45cd7e17c48425b&vjs=3,"₹3,60,000 - ₹8,19,999 a year"
236,"[Government] Kerala Oushadhi Recruitment 2020
new",Oushadhi,India,"The last date for submission of applications is 23/07/2020 up to 5:00 PM.
Pay Scale: ₹ 42500/- per month.
Published vacancy Notification for the post of Manager…","Government job &#10;


Oushadhi
Kerala

Published vacancy Notification for the post of Manager ( Project & Planning) at Oushadhi, Kuttanellur.

Manager (Project and Planning), Age Limit: 30 – 45 years. Pay Scale: ₹ 42500/- per month.

The last date for submission of applications is 23/07/2020 up to 5:00 PM.

Logon to: https://www.oushadhi.org/public/uploads/careers/5ef2cce648c1c1592970470-Notification.pdf for more detailed information.",3 days ago,www.indeed.co.in/rc/clk?jk=6b252b1980e816f2&fccid=81c68139cd3a3925&vjs=3,"₹42,500 a month"
237,"Junior Research Fellow
new",NIT Rourkela,"Raurkela, Orissa","To Apply for the job posting from NIT Rourkela, please click on the Apply Now button below.
The candidates are also required to produce relevant documents…","NIT Rourkela Recruitment 2020 - Junior Research Fellow Vacancies - 35,000 Salary - Apply NowNIT Rourkela Recruitment 2020-21: Employees State Insurance Corporation (NIT Rourkela) announced Job notification to hire candidates who completed B.Tech/B.E,M.E/M.Tech for the position of Junior Research Fellow. To Apply for the job posting from NIT Rourkela, please click on the Apply Now button below.Company Name: NIT Rourkela
Post Name: Junior Research Fellow
No of Posts: 2
Salary: 31,000 - 35,000 (Per Month)
Experience: fresher - 4 years
Education: B.Tech/B.E,M.E/M.Tech
Location: Rourkela
Last Date: 04-08-2020

Selection Procedure:
Mere possession of essential/desirable qualifications and experience does not guarantee selection for the post. Candidates will be selected on merit and need of the project. Walk-in / Online Interview

How To Apply:
Eligible candidates are required to send the complete filled up application form (soft copy) to sougatakar@gmail.com. The application form is available in the following link http://nitrkl.ac.in/oldwebsite/Jobs_Tenders/5ProjectFellowships/Doc/JRF%20LS-PND-64(2).pdf which must be filled by candidates and also required to attach photocopies of all supporting documents, research papers (if any) etc. Candidates should build a single pdf file and it is to be sent to Principal Investigator (sougatakar@gmail.com) on or before 04.08.2020. The candidates are also required to produce relevant documents mentioned in the application form (such as original of all mark sheets and certificates, research papers (if any), experience certificate (if any) etc. during interview.) Prof. Sougata Kar Address : Department of Electronics & Communication Engineering, NIT Rourkela, Odisha 769 008. Date and Time for Walk-in / Online Interview: 14 th August, 10:00 am. Place of Interview: Department of Electronics & Communication Engg., NIT Rourkela (in case of Walk-in Interview)",1 day ago,www.indeed.co.in/rc/clk?jk=bdbb8405da76472f&fccid=25649bee652239bf&vjs=3,"₹31,000 - ₹35,000 a month"
238,SCCM Administrator,Larsen & Toubro Infotech Limited,India,Monitoring applications for managed users and systems • Deploying and managing the Configuration Manager client • Configuration of an operating-system…,"• Should have strong experience in SCCM 2007 & 2012 / version 1802,1806,1810 & 1902. • Experience in design and installation of Microsoft System Configuration Manager 2007-2012. • In-depth knowledge of SCCM client installation, software distribution, remote control, and other SCCM issues. • Monitoring applications for managed users and systems • Deploying and managing the Configuration Manager client • Configuration of an operating-system deployment strategy by using SCCM • Implementing Endpoint Protection for managed PCs • Identifying and configuring methods for distribution and management of content used for deployment • Strong understanding of SCCM with advanced knowledge of application deployment, patch management, operating system deployment, client and server maintenance, troubleshooting, and reporting • Experience creating advertisements, collections, packages, applications within SCCM • Must be able to troubleshoot day to day operations, performing monitor and tuning system performance, and providing administration, configuration, installation, deployment and maintenance. • Must be able to work on-call as specific and weekends",18 days ago,www.indeed.co.in/rc/clk?jk=ca4df4c92420e90d&fccid=b5f9e2f53707b441&vjs=3,Not mentioned
239,Relationship Executive,SteepLap Technologies Pvt. Ltd.,"Shillong, Meghalaya","Explain about our products, understand the clients requirements provide immediate solutions.
This is a multi faceted role that offers immense learning…","Functional Area Other
Industry Type IT-Software-Software Services
Keywords Relationship Executive,Support services,Interpersonal skills,IT skills,PDF,Manager Client Servicing,Recruitment,Support Executive,Illustration,Finance
Maturity, Confidence, Perseverance, Patience, Excellent interpersonal skills, Commercial awareness, IT skills, Numerical skills


Job Profile:


This is a multi faceted role that offers immense learning opportunities across sales, marketing and client servicing

Explain about our products, understand the clients requirements provide immediate solutions

Extremely good command over spoken and written English

Should possess the ability to connect well with people

Self-motivated, very eager to learn, with strong logical reasoning skills

Passion for quality
Desired Candidate Profile
Profile Description
NA
Under Graduate Qualification
PG Qualifications Any PG Course (Any Specialization)
Note: Candidate should have either UG or PG qualifications",30+ days ago,www.indeed.co.in/rc/clk?jk=527d2ea8725b0847&fccid=9b9e7587c85a1ec2&vjs=3,"₹5,00,000 - ₹8,00,000 a year"
240,Language Expert/ Sr. Language Expert,Web Dunia,India,"Freelance translators kindly send your applications to [email protected].
Language Expert/ Sr. Language Expert.
Experienced candidates will be paid accordingly.","Content & Localization
Freelance translators kindly send your applications to [email protected]

Position
Language Expert/ Sr. Language Expert

Location
Indore / Chennai

Job Description
Translation from English to:
Hindi/Bengali/Punjabi/Assamese/Urdu/Marathi/Gujarati/Oriya/Malayalam/Kannada/Telugu/Tamil & vice-versa.

Job Specification
Any Graduate with basic Computer knowledge of MS-Office & good knowledge of English.
Preferred knowledge of typing in regional languages.
Experienced candidates will be paid accordingly.",30+ days ago,www.indeed.co.in/rc/clk?jk=da19a53b0c5ae52b&fccid=1567968e695ef1b4&vjs=3,Not mentioned
241,Back Office Staff,Martdreams pvt ltd,"Yamunanagar, Haryana","Need Candidate Who Can Spend 2 To 3 Hours On Internet From Home .
Mail Fr More Details We Will Send U The Full Details ....","Need Candidate Who Can Spend 2 To 3 Hours On Internet From Home .
Mail Fr More Details We Will Send U The Full Details ....",23 days ago,www.indeed.co.in/rc/clk?jk=2513b9a9fc4665de&fccid=bfd11c3b675d2f4e&vjs=3,"₹8,000 - ₹13,000 a month"
242,"Project Administrator
new",ServiceNow,"Hyderabad, Telangana","As a Project Administrator, you will be responsible for assisting Customer Outcomes Engagement Managers with organizing and controlling project activities…","JD Role
As a Project Administrator, you will be responsible for assisting Customer Outcomes Engagement Managers with organizing and controlling project activities through communicating risks, opportunities and current state of the project. Deliverables include ensuring projects run smoothly by controlling workflow, scheduling assignments, managing worksheets, evaluating the course of the project and reporting its status to management and stakeholders.
What you get to do in this role:
Assist engagement manager in all administration functions and processes
Support execution of project plans and manage them from inception to completion
Monitor all moving parts of the project keeping them synchronized and moving forward
Prepare, organize, and distribute all necessary project materials
Organize and implement formulated policies and procedures
Attend all project meetings and take notes
Budget forecast and assess possible project risks and setbacks
Maintain and update budgets as project progresses
Communicate pertinent information between management and staff
Manage and update resource plans in accordance with Engagement Manager
Update worksheets on a weekly basis &/or as changes occur on an engagement
Analyze project data and produce status reports
Foster positive and productive relationships

In order to be successful in this role, we need someone who has:
Associate’s or bachelor’s degree required
2+ years proven experience as a project administrator
2+ years in Professional Services organization
Extremely organized and focused
Excellent communication skills both oral and written
Propensity for multi-tasking
Ability to work flexible hours – support global team
Deadline driven
Strong documentation and presentation skills
Ability to manage upwards
Experience with analytics and understanding of metrics and KPIs (as defined)",1 day ago,www.indeed.co.in/rc/clk?jk=f74319223e0e8db6&fccid=7442885bc0fa7c14&vjs=3,Not mentioned
243,"ETL Developers
new",Larsen & Toubro Infotech Limited,India,"Adopt integration standards, best practices, ABC framework etc while creating ETL jobs.
Experienced on Pentaho, Python, Data pipelines, Dataproc or other GCP…","Experienced on Pentaho, Python, Data pipelines, Dataproc or other GCP data transformation tools, Unix scripting, SQL, Oracle, BigQuery (GCP) with relevant CI/CD, automation, monitoring tooling etc. Adopt integration standards, best practices, ABC framework etc while creating ETL jobs. - Performs data validation, cleansing and analysis. - Tests, debugs, and documents ETL processes, SQL queries, and stored procedures - Analyzes data from various sources, including databases and flat files - ETL development, deployment, optimization, support and defect fixes. - Develop error handling processes - Create and implement scheduling strategy - Possess good knowledge of Agile and Waterfall methodologies.",2 days ago,www.indeed.co.in/rc/clk?jk=76967c8ae43aa1e3&fccid=b5f9e2f53707b441&vjs=3,Not mentioned
244,"Field Technician – EOT Cranes / Hoist
new",MHEGURU,Gujarat,"Proven knowledge and experience of executing maintenance activities at customer site independently, problem solving ability with optimal cost to customer.","Opportunity for ITI / Diploma qualified Engineer (Mechanical or Electrical) with hands on experience of repair & maintenance of overhead Cranes, Electric hoist or hydraulic lifts. Proven knowledge and experience of executing maintenance activities at customer site independently, problem solving ability with optimal cost to customer. Experience on similar product / equipment may be considered for candidate with required knowledge.

Responsibilities:
Attend assigned service calls at customer site
Identify faults & provide solution independently using skills & experience
Attend assigned breakdown complaint for Battery forklift
Identify spares required if any and recommend
Prepare service reports for work done
Provide comprehensive feedback of service work to technical team.
Work With Us
Full Time
Part Time
Flexi-Hours

Earn Monthly (Salary / Commission) up to: 20,000 to 30,000",3 days ago,www.indeed.co.in/rc/clk?jk=b23c5a7886cec666&fccid=9963b3a2f44e4f6c&vjs=3,"₹20,000 - ₹30,000 a month"
245,"Field Worker
new",BHU,"Varanasi, Uttar Pradesh","To Apply for the job posting from BHU, please click on the Apply Now button below.
No TA/DA will be paid if called for interview.
Last Date: 27-07-2020.","BHU Recruitment 2020 - Field Worker Vacancies - 18000 Salary - Apply NowBHU Recruitment 2020-21: Employees State Insurance Corporation (BHU) announced Job notification to hire candidates who completed Any Graduate for the position of Field Worker. To Apply for the job posting from BHU, please click on the Apply Now button below.Company Name: BHU
Post Name: Field Worker
No of Posts: 2
Salary: 18,000 (Per Month )
Experience: 1 - 4 years
Education: Any Graduate
Location: Varanasi/Banaras
Last Date: 27-07-2020

Selection Procedure:
No TA/DA will be paid if called for interview.

How To Apply:
Application on Plain paper giving Name. permanent and correspondence address, names Of father and mother. telephone no. and e-mail address (if available). details of educational Career (starting front High School equivalent) along with attested copies Of all mark-sheets & certificates and details of any research or other experience etc„ if any. should reach within 21 days of the advertisement. to Prof. Shravan Kumar Singh Department or Genetics and Plant Breeding. Institute or Agricultural Sciences. Banaras Hindu University, Varanasi- 221 005. E-mail: shravanbbu1964@gmaiLeom. No TA/DA will be paid if called for interview.",6 days ago,www.indeed.co.in/rc/clk?jk=e2117e7ecf17dd4e&fccid=d5e8d825ed38a53c&vjs=3,"₹18,000 a month"
246,"Associate - Oracle - Gurgaon
new",PwC,"Delhi, Delhi","As a Senior Associate, you’ll work as part of a team of problem solvers with extensive consulting and industry experience, helping our clients solve their…","Line of Service
Advisory
Industry/Sector
Not Applicable
Specialism
Operations
Management Level
Associate
Job Description & Summary
A career within Oracle Consulting services, will provide you with the opportunity to help organisations use enterprise technology to achieve their digital technology goals and capitalise on business opportunities. We help our clients implement and effectively use Oracle offerings to solve their business problems and fuel success in the areas of finance, operations, human capital, customer, and governance, risk and compliance.
Responsibilities
As a Senior Associate, you’ll work as part of a team of problem solvers with extensive consulting and industry experience, helping our clients solve their complex business issues from strategy to execution. Specific responsibilities include but are not limited to:
Proactively assist in the management of several clients, while reporting to Managers and above
Train and lead staff
Establish effective working relationships directly with clients
Contribute to the development of your own and team’s technical acumen
Keep up to date with local and national business and economic issues
Be actively involved in business development activities to help identify and research opportunities on new/existing clients
Continue to develop internal relationships and your PwC brand
Oracle Fusion PPM
Education(if blank, degree and/or field of study not specified)
Degrees/Field of Study required:
Degrees/Field of Study preferred:
Certifications(if blank, certifications not specified)
Desired Languages(If blank, desired languages not specified)
Travel Requirements
Up to 60%
Available for Work Visa Sponsorship?
No
Government Clearance Required?
No
Job Posting End Date
July 31, 2020",1 day ago,www.indeed.co.in/rc/clk?jk=c59aa2376c395cb2&fccid=5e964c4afc56b180&vjs=3,Not mentioned
